Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,Total
t18,0.0,92.82481801039098,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.6111427573047259,13.5,0.0,0.0,3.706451439531365,0.0,0.0,6.215,0.0,50.0,0.0,6.779999999999999,90.0,0.0,10.0,13.686846917256906,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,23.47110480914348,584.2953639336274
t19,0.0,102.50130418902599,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,2.3866704126865503,1.1666601100992862,0.0,0.0,6.215,4.212036519219325,38.70754669733607,0.0,6.779999999999999,90.0,0.0,10.0,12.000497215157884,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,0.0,560.969715143525
t20,0.0,111.77640105419347,0.0,4.7400479195210385,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,4.321463487622492,8.04375,0.0,0.0,6.215,13.062414790947031,3.9359458046303026,0.0,6.779999999999999,90.0,0.0,10.0,9.537252580392659,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,0.0,541.912275637307
t21,0.0,110.08435328379201,0.0,2.388096631139812,0.0,10.496084485614906,0.0,0.0,0.0,0.0,13.5,0.0,8.766206136900491,0.0,0.0,0.0,6.215,19.139558038975643,0.0,28.0,6.779999999999999,90.0,0.0,10.0,6.566246612517203,0.0,8.513697696356418,0.0,80.0,100.0,52.0,0.0,0.0,0.0,552.4492428852965
t22,0.0,119.6198330071259,0.0,13.5,0.0,15.463792270998352,0.0,0.0,0.0,6.025208649499809,13.5,0.0,14.625,0.0,22.03261533027328,12.0,6.215,11.987480238703021,0.0,28.0,6.779999999999999,90.0,0.0,10.0,4.776514494036751,0.0,0.0,28.0,80.0,100.0,52.0,0.0,0.0,0.0,634.5254439906371
t23,0.0,117.46014631033368,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,13.5,0.0,14.625,0.0,10.194772860776233,12.0,6.215,0.0,0.0,28.0,6.779999999999999,90.0,0.0,10.0,3.103375286213966,0.0,28.0,28.0,80.0,100.0,52.0,0.0,0.0,0.0,619.8782944573238
t24,0.0,137.33469150688944,9.670458763837917,13.5,0.0,8.507556685394922,0.0,0.0,0.0,0.0,13.5,0.0,14.625,0.0,22.422692108221774,0.0,6.215,14.224278555719184,0.0,0.0,6.779999999999999,90.0,0.0,10.0,1.7810568731176282,0.0,28.0,28.0,80.0,100.0,52.0,0.0,14.0,0.0,650.5607344931809
t25,0.0,131.29176665154645,13.547236407809018,13.5,0.0,20.0,0.0,6.170038647068118,0.0,0.0,13.5,0.0,14.465231963898917,8.04375,33.6,12.0,6.215,0.0,0.27667161666534745,28.0,6.779999999999999,90.0,0.0,10.0,2.331610211586674,6.995618217251344,0.0,0.0,80.0,100.0,52.0,0.0,14.0,0.0,662.7169237158258
t26,0.0,111.00105767710642,10.912121652733708,13.5,0.0,20.0,0.0,2.91264386258276,0.0,0.0,13.5,0.0,14.516901613446494,8.04375,33.6,12.0,6.215,0.0,6.5139608298138505,28.0,6.779999999999999,90.0,0.0,10.0,1.3760718539368977,20.0,0.0,25.413114078051066,80.0,100.0,52.0,0.0,14.0,0.0,680.2846215676711
t27,98.41711758660102,49.209086089693045,0.19159214492663054,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1.1209938331678078,0.0,14.625,8.04375,33.6,6.185874148884849,6.215,0.0,18.276263967154968,0.0,6.779999999999999,90.0,0.0,10.0,0.5385243492633387,20.0,6.291313107167893,28.0,80.0,100.0,52.0,0.0,14.0,0.0,663.4945152268596
t28,69.80054876837853,0.0,0.0,0.0,0.0,20.0,0.0,1.2251097767305312,0.0,0.0,9.409616270638217,0.0,14.625,8.04375,33.6,1.0589700840808045,1.0958503339445176,0.0,28.117213086968697,28.0,6.779999999999999,90.0,0.0,10.0,0.46122520116051163,20.0,28.0,28.0,80.0,100.0,52.0,0.0,14.0,0.0,644.2172835219019
t29,88.92508112335382,0.0,0.0,0.0,0.0,20.0,44.66655705340188,0.0,0.0,0.05872668436842676,13.5,0.0,7.571558706767185,8.04375,33.6,0.0,0.0,9.029408197520583,23.324130545417816,0.0,6.779999999999999,90.0,0.0,10.0,2.7757159093724164,20.0,28.0,28.0,80.0,100.0,52.0,0.0,14.0,0.0,680.2749282202021
t30,186.75,30.27574421358643,48.62256022805977,13.5,5.625,20.0,47.25,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,48.26521153590495,0.0,6.779999999999999,90.0,7.119,10.0,19.3908,20.0,28.0,28.0,80.0,100.0,52.0,0.0,14.0,100.0,1130.7620659775512
t31,33.369433846970125,209.25,121.36500000000001,13.5,5.625,20.0,47.25,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,44.09217308556833,0.0,6.779999999999999,90.0,7.119,10.0,13.832862719967812,20.0,28.0,28.0,80.0,100.0,52.0,0.0,14.0,0.0,1119.3672196525063
t32,114.08670108567675,209.25,121.36499999999998,13.5,5.625,20.0,47.25,13.486013190120142,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,48.541671965853475,0.0,6.779999999999999,90.0,4.165387396791879,10.0,19.3908,20.0,28.0,28.0,80.0,100.0,52.0,0.0,14.0,100.0,1320.6243236384423
t33,60.5464282097626,209.25,70.21602510576797,13.5,5.625,20.0,47.25,0.0,0.0,67.5,13.5,0.0,14.534300737366694,8.04375,33.6,12.0,6.215,19.7,48.57623340345348,0.0,6.779999999999999,90.0,7.119,10.0,17.480442455573996,20.0,28.0,28.0,80.0,100.0,52.0,0.0,14.0,100.0,1203.4361799119247
t34,186.75,209.25,67.94956448519777,13.5,5.625,20.0,47.25,0.0,0.0,67.5,13.5,0.0,14.625,8.04375,33.6,12.0,6.215,19.7,50.0,0.0,6.779999999999999,90.0,5.2017512795293355,10.0,19.3908,20.0,27.06101760302222,28.0,80.0,100.0,52.0,0.0,14.0,45.89577642990984,1273.8376597976592
