Region,Resource,Zone,Cluster,AnnualSum
None,wind_offshore_existing_UK,14,1,1.0557973508835473e9
None,wind_offshore_UK,14,1,9.87072266647926e9
None,wind_onshore_existing_UK,14,1,1.2321299490346703e8
None,wind_onshore_UK,14,1,6.677727436112281e9
None,solar_existing_UK,14,1,0.0
None,solar_UK,14,1,5.329642625670787e9
None,hydro_UK,14,1,7.029703111710006e8
None,hydro_pumped_UK,14,1,8.143803656998103e8
None,battery_UK,14,1,1.1508769866574287e9
None,nuclear_FR,15,1,6.921512991287693e7
None,nuclear_existing_FR,15,1,3.4116203113461143e10
None,coal_hard_FR,15,1,0.0
None,gas_CC_CCS_FR,15,1,3.038008825071755e9
None,gas_CC_FR,15,1,4.019027415497942e7
None,gas_OC_FR,15,1,6.900241995847623e9
None,wind_offshore_existing_FR,15,1,1.5874676968116826e8
None,wind_offshore_FR,15,1,7.528609263675819e9
None,wind_onshore_existing_FR,15,1,1.835537812467494e7
None,wind_onshore_FR,15,1,8.291110006840703e9
None,solar_existing_FR,15,1,0.0
None,solar_FR,15,1,6.143738543457577e9
None,hydro_pumped_FR,15,1,1.0662619471265589e9
None,battery_FR,15,1,2.565922168793435e9
None,coal_hard_ES,16,1,0.0
None,gas_CC_CCS_ES,16,1,8.402820586795975e9
None,gas_CC_ES,16,1,1.4141732735451503e7
None,gas_OC_ES,16,1,6.902850438876129e8
None,hydro_ES,16,1,2.336976343297364e9
None,wind_offshore_existing_ES,16,1,158055.88818408584
None,wind_offshore_ES,16,1,3.9546772284339774e8
None,wind_onshore_existing_ES,16,1,4.114733868359837e7
None,wind_onshore_ES,16,1,8.274456301144297e9
None,solar_existing_ES,16,1,0.0
None,solar_ES,16,1,3.90031252012412e9
None,hydro_pumped_ES,16,1,2.026913951063566e9
None,battery_ES,16,1,2.336694970073619e9
None,nuclear_NL,17,1,4.6252339915447414e8
None,must_run_NL,17,1,1.173321136336853e9
None,coal_hard_NL,17,1,0.0
None,gas_CC_CCS_NL,17,1,1.1562933607083714e10
None,gas_CC_NL,17,1,36.937955532054296
None,gas_OC_NL,17,1,2.328490787020736e6
None,wind_offshore_existing_NL,17,1,3.6181364453052944e8
None,wind_offshore_NL,17,1,2.268982484030938e9
None,wind_onshore_existing_NL,17,1,2.7797004150064357e7
None,wind_onshore_NL,17,1,2.2265039740363827e9
None,solar_existing_NL,17,1,0.0
None,solar_NL,17,1,3.2166439065600886e9
None,battery_NL,17,1,1.5834249954566054e9
None,nse0_heating_space_load_SE1,1,1,1.0953421940089639e6
None,nse1_heating_space_load_SE1,1,1,842099.8133743545
None,nse2_heating_space_load_SE1,1,1,0.0
None,nse3_heating_space_load_SE1,1,1,0.0
