region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_Charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_Charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
None,hydrogen_OC_storage_SE1,1,1,56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_OC_storage_SE2,2,1,57,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_OC_storage_SE3,3,1,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_OC_storage_SE4,4,1,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE1,1,1,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE2,2,1,61,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE3,3,1,62,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydrogen_CC_storage_SE4,4,1,63,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE1,1,1,64,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE2,2,1,65,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE3,3,1,66,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_pumped_storage_SE4,4,1,67,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,burning_NO125,5,1,68,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.800843713139683e7,0.0,0.0,0.0,0.0,0.0,9.800843713139683e7,0.0,9.800843713139683e7
None,burning_NO3,6,1,69,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.376607520558065e7,0.0,0.0,0.0,0.0,0.0,2.376607520558065e7,0.0,2.376607520558065e7
None,burning_NO4,7,1,70,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3278641599886754e8,0.0,0.0,0.0,0.0,0.0,1.3278641599886754e8,0.0,1.3278641599886754e8
None,must_run_NO125,5,1,71,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.967644399104707e8,0.0,0.0,0.0,0.0,0.0,6.967644399104707e8,0.0,6.967644399104707e8
None,must_run_NO3,6,1,72,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.715246754539663e7,0.0,0.0,0.0,0.0,0.0,7.715246754539663e7,0.0,7.715246754539663e7
None,must_run_NO4,7,1,73,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.287102811297568e7,0.0,0.0,0.0,0.0,0.0,3.287102811297568e7,0.0,3.287102811297568e7
None,hydro_NO125,5,1,74,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.323670766238031e9,0.0,0.0,0.0,0.0,0.0,6.323670766238031e9,0.0,6.323670766238031e9
None,hydro_NO3,6,1,75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105932926325762e9,0.0,0.0,0.0,0.0,0.0,1.2105932926325762e9,0.0,1.2105932926325762e9
None,hydro_NO4,7,1,76,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7963749725419524e9,0.0,0.0,0.0,0.0,0.0,1.7963749725419524e9,0.0,1.7963749725419524e9
None,hydro_flex_NO125,5,1,77,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.533895808760136e8,0.0,0.0,0.0,0.0,0.0,6.533895808760136e8,0.0,6.533895808760136e8
None,hydro_flex_NO3,6,1,78,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2116317845381004e8,0.0,0.0,0.0,0.0,0.0,3.2116317845381004e8,0.0,3.2116317845381004e8
None,hydro_flex_NO4,7,1,79,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.146597535518152e8,0.0,0.0,0.0,0.0,0.0,3.146597535518152e8,0.0,3.146597535518152e8
None,wind_offshore_existing_NO125,5,1,80,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102459329078501e7,0.0,0.0,0.0,0.0,0.0,1.1102459329078501e7,0.0,1.1102459329078501e7
None,wind_offshore_existing_NO3,6,1,81,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0567378566177774e7,0.0,0.0,0.0,0.0,0.0,1.0567378566177774e7,0.0,1.0567378566177774e7
None,wind_offshore_NO125,5,1,82,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1663333392225285e9,0.0,0.0,0.0,0.0,0.0,1.1663333392225285e9,0.0,1.1663333392225285e9
None,wind_offshore_NO3,6,1,83,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_NO125,5,1,84,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373743396570064e7,0.0,0.0,0.0,0.0,0.0,2.373743396570064e7,0.0,2.373743396570064e7
None,wind_onshore_existing_NO3,6,1,85,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_NO4,7,1,86,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7427107753205663e6,0.0,0.0,0.0,0.0,0.0,3.7427107753205663e6,0.0,3.7427107753205663e6
None,wind_onshore_NO125,5,1,87,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80353621913748e8,0.0,0.0,0.0,0.0,0.0,3.80353621913748e8,0.0,3.80353621913748e8
None,wind_onshore_NO3,6,1,88,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.334156603335465e8,0.0,0.0,0.0,0.0,0.0,3.334156603335465e8,0.0,3.334156603335465e8
None,wind_onshore_NO4,7,1,89,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0824716194247156e8,0.0,0.0,0.0,0.0,0.0,2.0824716194247156e8,0.0,2.0824716194247156e8
None,solar_existing_NO125,5,1,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_NO3,6,1,91,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_NO4,7,1,92,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_NO125,5,1,93,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.6968364589407,0.0,0.0,0.0,0.0,0.0,562.6968364589407,0.0,562.6968364589407
None,solar_NO3,6,1,94,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.960273270366475e6,0.0,0.0,0.0,0.0,0.0,3.960273270366475e6,0.0,3.960273270366475e6
None,solar_NO4,7,1,95,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,nuclear_existing_FI,8,1,96,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4094840363008986e9,0.0,0.0,0.0,0.0,0.0,3.4094840363008986e9,0.0,3.4094840363008986e9
None,nuclear_FI,8,1,97,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.317612358965375e9,0.0,0.0,0.0,0.0,0.0,3.317612358965375e9,0.0,3.317612358965375e9
None,thermal_FI,8,1,98,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.230610414943297e9,0.0,0.0,0.0,0.0,0.0,1.230610414943297e9,0.0,1.230610414943297e9
None,coal_hard_FI,8,1,99,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_FI,8,1,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_OC_FI,8,1,101,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,hydro_FI,8,1,102,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3220191031018531e9,0.0,0.0,0.0,0.0,0.0,1.3220191031018531e9,0.0,1.3220191031018531e9
None,wind_offshore_existing_FI,8,1,103,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_FI,8,1,104,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_FI,8,1,105,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1043449340563826e8,0.0,0.0,0.0,0.0,0.0,1.1043449340563826e8,0.0,1.1043449340563826e8
None,wind_onshore_FI,8,1,106,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4884383201928396e9,0.0,0.0,0.0,0.0,0.0,2.4884383201928396e9,0.0,2.4884383201928396e9
None,solar_existing_FI,8,1,107,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_FI,8,1,108,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.918078347802456e7,0.0,0.0,0.0,0.0,0.0,3.918078347802456e7,0.0,3.918078347802456e7
None,battery_FI,8,1,109,0,0,0,0.0,0.0,0.0,8.103796308562455e7,0.0,0.0,0.0,1.9307895321972493e7,3.0046758879308313e8,0.0,0.0,0.0,0.0,0.0,3.0046758879308313e8,1.0034585840759704e8,2.001217303854861e8
None,hydrogen_storage_FI,8,1,110,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,must_run_DK1,9,1,111,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4791440822675514e8,0.0,0.0,0.0,0.0,0.0,2.4791440822675514e8,0.0,2.4791440822675514e8
None,must_run_DK2,10,1,112,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.008673780220423e8,0.0,0.0,0.0,0.0,0.0,6.008673780220423e8,0.0,6.008673780220423e8
None,coal_hard_DK1,9,1,113,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_DK1,9,1,114,0,0,0,0.0,0.0,0.0,0.0,3.722420799132769e8,0.0,0.0,0.0,4.1163912774459994e8,0.0,0.0,0.0,0.0,0.0,4.1163912774459994e8,3.722420799132769e8,3.939704783132303e7
None,gas_DK2,10,1,115,0,0,0,0.0,0.0,0.0,0.0,1.419667308480409e8,0.0,0.0,0.0,1.5977315449144807e8,0.0,0.0,0.0,0.0,0.0,1.5977315449144807e8,1.419667308480409e8,1.7806423643407166e7
None,gas_CC_CCS_DK1,9,1,116,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_CC_CCS_retrofit_DK2,10,1,117,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_existing_DK1,9,1,118,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_existing_DK2,10,1,119,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_DK1,9,1,120,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3975258832600822e9,0.0,0.0,0.0,0.0,0.0,2.3975258832600822e9,0.0,2.3975258832600822e9
None,wind_offshore_DK2,10,1,121,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3739354303228257e9,0.0,0.0,0.0,0.0,0.0,1.3739354303228257e9,0.0,1.3739354303228257e9
None,wind_onshore_existing_DK1,9,1,122,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_DK2,10,1,123,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_DK1,9,1,124,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1484563765288327e9,0.0,0.0,0.0,0.0,0.0,1.1484563765288327e9,0.0,1.1484563765288327e9
None,wind_onshore_DK2,10,1,125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.148589525188816e7,0.0,0.0,0.0,0.0,0.0,8.148589525188816e7,0.0,8.148589525188816e7
None,solar_existing_DK1,9,1,126,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_DK2,10,1,127,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_DK1,9,1,128,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2127198820150533e8,0.0,0.0,0.0,0.0,0.0,2.2127198820150533e8,0.0,2.2127198820150533e8
None,solar_DK2,10,1,129,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375734672487606e8,0.0,0.0,0.0,0.0,0.0,3.375734672487606e8,0.0,3.375734672487606e8
None,battery_DK1,9,1,130,0,0,0,0.0,0.0,0.0,7.071210107239601e7,0.0,0.0,0.0,7.576825467838362e7,2.3457432992997316e8,0.0,0.0,0.0,0.0,0.0,2.3457432992997316e8,1.4648035575077963e8,8.809397417919353e7
None,battery_DK2,10,1,131,0,0,0,0.0,0.0,0.0,7.475748164162058e7,0.0,0.0,0.0,5.7965990496985175e7,2.145854851686991e8,0.0,0.0,0.0,0.0,0.0,2.145854851686991e8,1.3272347213860574e8,8.186201303009334e7
