Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
wind_onshore_NO3,6,1620.943335,0.0,0.0,1620.943335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_NO4,7,998.441999,0.0,0.0,998.441999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_NO125,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_NO3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_NO4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_NO125,5,0.008082,0.0,0.0,0.008082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_NO3,6,67.999179,0.0,0.0,67.999179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_NO4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_existing_FI,8,4394.0,0.0,0.0,4394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_FI,8,4254.421395,0.0,0.0,4254.421395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thermal_FI,8,1692.861952,0.0,0.0,1692.861952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_FI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_FI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_FI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_FI,8,2400.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_FI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_FI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_FI,8,1083.0,0.0,0.0,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_FI,8,19184.42508,0.0,0.0,19184.42508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_FI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_FI,8,606.671268,0.0,0.0,606.671268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_FI,8,8800.0,0.0,0.0,8800.0,35200.0,0.0,0.0,35200.0,0.0,0.0,0.0,0.0
hydrogen_storage_FI,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
