Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17
,,,,,,,11,12047.610152,4293.158561,15981.181628,4035.743998,18323.511674,3297.493209,4007.785916,17846.162045,6984.672480,5175.108631,136046.788156,23364.577786,4551.646903,71199.531542,111615.531656,40721.215841,25811.112670
,,,,,,,12,12039.662311,4276.648437,15841.370177,3984.945662,18463.321563,3318.825003,4023.678034,17932.655344,6972.337549,5144.598035,134483.833117,23418.913836,4578.937714,76908.540722,113947.781271,42787.591364,25955.071765
,,,,,,,13,12034.014539,4266.610713,15717.634366,3940.873659,18481.737157,3363.524857,4074.215903,17829.391960,6950.659925,5103.044389,132720.883152,23598.459269,4593.165295,78867.009717,109363.391183,43246.024843,25767.269474
,,,,,,,14,12031.791591,4262.130367,15624.226676,3901.336856,18533.781757,3430.848604,4141.652211,17905.768444,6908.481951,5067.767232,131324.269727,23331.889059,4592.030247,80391.760552,105863.677619,43491.386955,25794.776246
,,,,,,,15,12028.722766,4256.505504,15510.381526,3833.919826,18679.843696,3542.873040,4202.781771,17964.936838,7007.220928,5014.029309,130712.485619,23290.334014,4631.636175,80459.319790,103745.333391,43823.723180,25830.715547
,,,,,,,16,12034.511245,4267.438570,15548.617001,3822.056775,18908.430221,3658.137125,4193.139851,18097.666487,7326.964476,4949.502185,132286.183251,24461.662347,4729.108074,80621.888108,104901.350068,43296.899205,26413.626311
,,,,,,,17,12046.328178,4282.557015,15638.264144,3838.003472,18854.672206,3701.643134,4148.413477,18190.677204,7268.381084,4950.122095,136371.463988,24482.833532,4753.613564,80408.030380,110821.009131,42593.988993,27584.344779
,,,,,,,18,12076.708128,4330.571381,15965.779185,3951.777019,18421.405594,3655.761327,4064.396552,18262.875802,7043.974209,5142.473899,141591.076011,24174.142986,4700.774466,80530.289125,115694.993670,42815.270612,27768.097247
,,,,,,,19,12103.749812,4379.260878,16304.789715,4070.334233,17894.275195,3586.473478,3971.356826,18407.865655,6846.427348,5230.083045,144844.938182,24082.328650,4606.940681,83315.260013,118581.397477,44340.433505,27777.204135
,,,,,,,20,12114.734649,4404.652654,16541.846223,4151.051739,17526.943096,3524.833916,3893.608160,18466.836250,6679.495882,5154.817854,144454.484474,23258.875807,4478.046381,87752.456504,117848.666172,47796.230910,27677.930824
,,,,,,,21,12119.663924,4420.969092,16697.967515,4198.823077,17265.688067,3474.635662,3825.541146,18791.160084,6476.471160,5022.965663,143818.437933,21655.849104,4291.599959,90566.133646,116197.634920,50064.191341,27397.432937
,,,,,,,22,12175.784474,4536.975305,17691.646611,4534.566865,16928.578749,3427.460707,3736.465916,18811.843020,6213.836574,4881.358680,148266.977790,20228.831368,4141.498934,91313.263168,118902.200595,50351.367526,26602.755502
,,,,,,,23,12149.386507,4495.920980,17446.059612,4443.630286,16538.791237,3358.214932,3634.398049,18823.345048,5884.489876,4679.444355,143181.622830,18567.189219,3939.207662,89919.332834,122061.037629,50526.539455,26131.002172
,,,,,,,24,12279.875889,4753.696712,19546.683978,5171.329366,16228.026536,3274.959135,3548.857225,18780.452636,5754.249912,4470.132412,153422.910824,20692.661007,3788.233258,86931.427137,121634.022630,50582.318392,25554.518321
,,,,,,,25,12306.380103,4927.896940,21114.719998,5467.970724,16230.778612,3923.116148,3565.939481,19286.914938,5697.901838,4705.522008,157575.788847,20177.078020,3987.596553,83725.849587,123332.105583,49866.655282,25652.143021
,,,,,,,26,12296.032179,4906.389677,20965.317276,5394.017460,16036.646271,3891.207945,3526.463410,19206.165472,5694.637359,4556.282983,156159.072320,19824.119575,3939.445672,77973.350035,121403.719975,47590.971747,25199.769142
