hydro_SE1,hydro_SE2,hydro_NO125,hydro_NO3,hydro_NO4
0.8378564824166667,0.8409067167202381,0.8378564824166667,0.8378564824166667,0.8378564824166667
0.8376815418333333,0.8406241974404761,0.8376815418333333,0.8376815418333333,0.8376815418333333
0.83750660125,0.8403416781607143,0.83750660125,0.83750660125,0.83750660125
0.8373316606666666,0.8400591588809523,0.8373316606666666,0.8373316606666666,0.8373316606666666
0.8371567200833333,0.8397766396011904,0.8371567200833333,0.8371567200833333,0.8371567200833333
0.8369817795,0.8394941203214286,0.8369817795,0.8369817795,0.8369817795
0.8368068389166666,0.8392116010416666,0.8368068389166666,0.8368068389166666,0.8368068389166666
0.8366318983333333,0.8389290817619047,0.8366318983333333,0.8366318983333333,0.8366318983333333
0.83645695775,0.8386465624821429,0.83645695775,0.83645695775,0.83645695775
0.8362820171666666,0.8383640432023809,0.8362820171666666,0.8362820171666666,0.8362820171666666
0.8361070765833334,0.838081523922619,0.8361070765833334,0.8361070765833334,0.8361070765833334
0.835932136,0.8377990046428571,0.835932136,0.835932136,0.835932136
0.8357571954166667,0.8375164853630952,0.8357571954166667,0.8357571954166667,0.8357571954166667
0.8355822548333334,0.8372339660833333,0.8355822548333334,0.8355822548333334,0.8355822548333334
0.83540731425,0.8369514468035714,0.83540731425,0.83540731425,0.83540731425
0.8352323736666667,0.8366689275238095,0.8352323736666667,0.8352323736666667,0.8352323736666667
0.8350574330833334,0.8363864082440475,0.8350574330833334,0.8350574330833334,0.8350574330833334
0.8348824925,0.8361038889642857,0.8348824925,0.8348824925,0.8348824925
0.8347075519166667,0.8358213696845238,0.8347075519166667,0.8347075519166667,0.8347075519166667
0.8345326113333333,0.8355388504047618,0.8345326113333333,0.8345326113333333,0.8345326113333333
0.83435767075,0.835256331125,0.83435767075,0.83435767075,0.83435767075
0.8341827301666667,0.834973811845238,0.8341827301666667,0.8341827301666667,0.8341827301666667
0.8340077895833333,0.8346912925654761,0.8340077895833333,0.8340077895833333,0.8340077895833333
0.833832849,0.8344087732857143,0.833832849,0.833832849,0.833832849
0.8336579084166666,0.8341262540059523,0.8336579084166666,0.8336579084166666,0.8336579084166666
0.8334829678333333,0.8338437347261904,0.8334829678333333,0.8334829678333333,0.8334829678333333
0.83330802725,0.8335612154464286,0.83330802725,0.83330802725,0.83330802725
0.8331330866666666,0.8332786961666666,0.8331330866666666,0.8331330866666666,0.8331330866666666
0.8329581460833333,0.8329961768869047,0.8329581460833333,0.8329581460833333,0.8329581460833333
