hydro_SE1,hydro_SE2,hydro_NO125,hydro_NO3,hydro_NO4
0.28642098,0.4284880756428571,0.28642098,0.28642098,0.28642098
0.28642098,0.42819485660714285,0.28642098,0.28642098,0.28642098
0.28642098,0.4279016375714286,0.28642098,0.28642098,0.28642098
0.28642098,0.42760841853571424,0.28642098,0.28642098,0.28642098
0.28642098,0.42731519949999996,0.28642098,0.28642098,0.28642098
0.28642098,0.4270219804642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4267287614285714,0.28642098,0.28642098,0.28642098
0.28642098,0.42643554239285714,0.28642098,0.28642098,0.28642098
0.28642098,0.42614232335714286,0.28642098,0.28642098,0.28642098
0.28642098,0.42584910432142853,0.28642098,0.28642098,0.28642098
0.28642098,0.42555588528571425,0.28642098,0.28642098,0.28642098
0.28642098,0.42526266625,0.28642098,0.28642098,0.28642098
0.28642098,0.4249694472142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4246762281785714,0.28642098,0.28642098,0.28642098
0.28642098,0.4243830091428571,0.28642098,0.28642098,0.28642098
0.28642098,0.4240897901071428,0.28642098,0.28642098,0.28642098
0.28642098,0.42379657107142854,0.28642098,0.28642098,0.28642098
0.28642098,0.42350335203571426,0.28642098,0.28642098,0.28642098
0.28642098,0.423210133,0.28642098,0.28642098,0.28642098
0.28642098,0.4229169139642857,0.28642098,0.28642098,0.28642098
0.28642098,0.42262369492857144,0.28642098,0.28642098,0.28642098
0.28642098,0.4223304758928571,0.28642098,0.28642098,0.28642098
0.28642098,0.42203725685714283,0.28642098,0.28642098,0.28642098
0.28642098,0.42174403782142855,0.28642098,0.28642098,0.28642098
0.28642098,0.4214508187857143,0.28642098,0.28642098,0.28642098
0.28642098,0.42115759975,0.28642098,0.28642098,0.28642098
0.28642098,0.42086438071428567,0.28642098,0.28642098,0.28642098
0.28642098,0.4205711616785714,0.28642098,0.28642098,0.28642098
0.28642098,0.4202779426428571,0.28642098,0.28642098,0.28642098
0.28642098,0.41998472360714284,0.28642098,0.28642098,0.28642098
0.28642098,0.41969150457142856,0.28642098,0.28642098,0.28642098
0.28642098,0.41939828553571423,0.28642098,0.28642098,0.28642098
0.28642098,0.41910506649999996,0.28642098,0.28642098,0.28642098
0.28642098,0.4188118474642857,0.28642098,0.28642098,0.28642098
0.28642098,0.4185186284285714,0.28642098,0.28642098,0.28642098
0.28642098,0.41822540939285713,0.28642098,0.28642098,0.28642098
0.28642098,0.41793219035714285,0.28642098,0.28642098,0.28642098
0.28642098,0.4176389713214286,0.28642098,0.28642098,0.28642098
0.28642098,0.41734575228571424,0.28642098,0.28642098,0.28642098
0.28642098,0.41705253324999997,0.28642098,0.28642098,0.28642098
0.28642098,0.4167593142142857,0.28642098,0.28642098,0.28642098
0.28642098,0.4164660951785714,0.28642098,0.28642098,0.28642098
0.28642098,0.41617287614285714,0.28642098,0.28642098,0.28642098
0.28642098,0.4158796571071428,0.28642098,0.28642098,0.28642098
0.28642098,0.41558643807142853,0.28642098,0.28642098,0.28642098
0.28642098,0.41529321903571426,0.28642098,0.28642098,0.28642098
0.28642098,0.415,0.28642098,0.28642098,0.28642098
0.2862797484821428,0.4150611346785714,0.2862797484821428,0.2862797484821428,0.2862797484821428
0.2861385169642857,0.41512226935714286,0.2861385169642857,0.2861385169642857,0.2861385169642857
0.28599728544642855,0.41518340403571424,0.28599728544642855,0.28599728544642855,0.28599728544642855
0.28585605392857144,0.4152445387142857,0.28585605392857144,0.28585605392857144,0.28585605392857144
0.2857148224107143,0.4153056733928571,0.2857148224107143,0.2857148224107143,0.2857148224107143
0.2855735908928571,0.41536680807142856,0.2855735908928571,0.2855735908928571,0.2855735908928571
0.285432359375,0.41542794275,0.285432359375,0.285432359375,0.285432359375
0.28529112785714283,0.4154890774285714,0.28529112785714283,0.28529112785714283,0.28529112785714283
0.2851498963392857,0.4155502121071428,0.2851498963392857,0.2851498963392857,0.2851498963392857
0.28500866482142856,0.41561134678571426,0.28500866482142856,0.28500866482142856,0.28500866482142856
0.28486743330357145,0.4156724814642857,0.28486743330357145,0.28486743330357145,0.28486743330357145
0.2847262017857143,0.41573361614285714,0.2847262017857143,0.2847262017857143,0.2847262017857143
0.2845849702678571,0.4157947508214285,0.2845849702678571,0.2845849702678571,0.2845849702678571
0.28444373875,0.41585588549999997,0.28444373875,0.28444373875,0.28444373875
0.28430250723214284,0.4159170201785714,0.28430250723214284,0.28430250723214284,0.28430250723214284
0.28416127571428573,0.41597815485714285,0.28416127571428573,0.28416127571428573,0.28416127571428573
0.28402004419642857,0.4160392895357143,0.28402004419642857,0.28402004419642857,0.28402004419642857
0.2838788126785714,0.41610042421428567,0.2838788126785714,0.2838788126785714,0.2838788126785714
0.2837375811607143,0.4161615588928571,0.2837375811607143,0.2837375811607143,0.2837375811607143
0.2835963496428571,0.41622269357142855,0.2835963496428571,0.2835963496428571,0.2835963496428571
0.283455118125,0.41628382825,0.283455118125,0.283455118125,0.283455118125
0.28331388660714285,0.4163449629285714,0.28331388660714285,0.28331388660714285,0.28331388660714285
0.2831726550892857,0.4164060976071428,0.2831726550892857,0.2831726550892857,0.2831726550892857
0.2830314235714286,0.41646723228571425,0.2830314235714286,0.2830314235714286,0.2830314235714286
0.2828901920535714,0.4165283669642857,0.2828901920535714,0.2828901920535714,0.2828901920535714
0.2827489605357143,0.41658950164285713,0.2827489605357143,0.2827489605357143,0.2827489605357143
0.28260772901785713,0.41665063632142857,0.28260772901785713,0.28260772901785713,0.28260772901785713
0.28246649749999997,0.41671177099999995,0.28246649749999997,0.28246649749999997,0.28246649749999997
0.28232526598214286,0.4167729056785714,0.28232526598214286,0.28232526598214286,0.28232526598214286
0.2821840344642857,0.41683404035714283,0.2821840344642857,0.2821840344642857,0.2821840344642857
0.2820428029464286,0.41689517503571427,0.2820428029464286,0.2820428029464286,0.2820428029464286
0.2819015714285714,0.4169563097142857,0.2819015714285714,0.2819015714285714,0.2819015714285714
0.2817603399107143,0.41701744439285715,0.2817603399107143,0.2817603399107143,0.2817603399107143
0.28161910839285714,0.41707857907142853,0.28161910839285714,0.28161910839285714,0.28161910839285714
0.281477876875,0.41713971375,0.281477876875,0.281477876875,0.281477876875
0.28133664535714287,0.4172008484285714,0.28133664535714287,0.28133664535714287,0.28133664535714287
0.2811954138392857,0.41726198310714285,0.2811954138392857,0.2811954138392857,0.2811954138392857
0.2810541823214286,0.4173231177857143,0.2810541823214286,0.2810541823214286,0.2810541823214286
