region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_Charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_Charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
None,wind_onshore_existing_SE3,3,1,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_SE4,4,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_SE1,1,1,40,6.411295498848e8,0.0,0.0,2.04e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4569413038053925e9,0.0,0.0,0.0,0.0,0.0,1.4569413038053925e9,8.451295498848e8,6.118117539205925e8
None,wind_onshore_SE2,2,1,41,8.956956946919999e8,0.0,0.0,2.85e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13065687223595e9,0.0,0.0,0.0,0.0,0.0,2.13065687223595e9,1.180695694692e9,9.499611775439501e8
None,wind_onshore_SE3,3,1,42,8.108403130896e8,0.0,0.0,2.58e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0960583053634772e9,0.0,0.0,0.0,0.0,0.0,2.0960583053634772e9,1.0688403130896e9,1.0272179922738773e9
None,wind_onshore_SE4,4,1,43,2.8285127200799996e8,0.0,0.0,9.0e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952628687961967e8,0.0,0.0,0.0,0.0,0.0,7.952628687961967e8,3.7285127200799996e8,4.2241159678819674e8
None,solar_existing_SE1,1,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_SE2,2,1,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_SE3,3,1,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_existing_SE4,4,1,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_SE1,1,1,48,2.741823324412632e8,0.0,0.0,6.841843688262402e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42600769323887e8,0.0,0.0,0.0,0.0,0.0,3.42600769323887e8,3.426007693238872e8,-2.384185791015625e-7
