Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
None,nse1_EV_load_SE1,1,1,272,0.0
None,nse2_EV_load_SE1,1,1,273,0.0
None,nse3_EV_load_SE1,1,1,274,0.0
None,nse0_EV_load_SE2,2,1,275,0.0
None,nse1_EV_load_SE2,2,1,276,0.0
None,nse2_EV_load_SE2,2,1,277,0.0
None,nse3_EV_load_SE2,2,1,278,0.0
None,nse0_EV_load_SE3,3,1,279,0.0
None,nse1_EV_load_SE3,3,1,280,0.0
None,nse2_EV_load_SE3,3,1,281,0.0
None,nse3_EV_load_SE3,3,1,282,0.0
None,nse0_EV_load_SE4,4,1,283,0.0
None,nse1_EV_load_SE4,4,1,284,0.0
None,nse2_EV_load_SE4,4,1,285,0.0
None,nse3_EV_load_SE4,4,1,286,0.0
None,nse0_residential_tertiary_load_SE1,1,1,287,0.0
None,nse1_residential_tertiary_load_SE1,1,1,288,0.0
None,nse2_residential_tertiary_load_SE1,1,1,289,0.0
None,nse3_residential_tertiary_load_SE1,1,1,290,0.0
None,nse0_residential_tertiary_load_SE2,2,1,291,0.0
None,nse1_residential_tertiary_load_SE2,2,1,292,0.0
None,nse2_residential_tertiary_load_SE2,2,1,293,0.0
None,nse3_residential_tertiary_load_SE2,2,1,294,0.0
None,nse0_residential_tertiary_load_SE3,3,1,295,0.0
None,nse1_residential_tertiary_load_SE3,3,1,296,0.0
None,nse2_residential_tertiary_load_SE3,3,1,297,0.0
None,nse3_residential_tertiary_load_SE3,3,1,298,0.0
None,nse0_residential_tertiary_load_SE4,4,1,299,0.0
None,nse1_residential_tertiary_load_SE4,4,1,300,0.0
None,nse2_residential_tertiary_load_SE4,4,1,301,0.0
None,nse3_residential_tertiary_load_SE4,4,1,302,0.0
None,nse0_electrolyser_load_SE1,1,1,303,0.0
None,nse1_electrolyser_load_SE1,1,1,304,0.0
None,nse2_electrolyser_load_SE1,1,1,305,0.0
None,nse3_electrolyser_load_SE1,1,1,306,0.0
None,nse0_electrolyser_load_SE2,2,1,307,0.0
None,nse1_electrolyser_load_SE2,2,1,308,0.0
None,nse2_electrolyser_load_SE2,2,1,309,0.0
None,nse3_electrolyser_load_SE2,2,1,310,0.0
None,nse0_electrolyser_load_SE3,3,1,311,0.0
None,nse1_electrolyser_load_SE3,3,1,312,0.0
None,nse2_electrolyser_load_SE3,3,1,313,0.0
None,nse3_electrolyser_load_SE3,3,1,314,0.0
None,nse0_electrolyser_load_SE4,4,1,315,0.0
None,nse1_electrolyser_load_SE4,4,1,316,0.0
None,nse2_electrolyser_load_SE4,4,1,317,0.0
None,nse3_electrolyser_load_SE4,4,1,318,0.0
None,nse0_industry_load_SE1,1,1,319,0.0
None,nse1_industry_load_SE1,1,1,320,0.0
None,nse2_industry_load_SE1,1,1,321,0.0
None,nse3_industry_load_SE1,1,1,322,0.0
None,nse0_industry_load_SE2,2,1,323,0.0
None,nse1_industry_load_SE2,2,1,324,0.0
None,nse2_industry_load_SE2,2,1,325,0.0
None,nse3_industry_load_SE2,2,1,326,0.0
None,nse0_industry_load_SE3,3,1,327,0.0
None,nse1_industry_load_SE3,3,1,328,0.0
None,nse2_industry_load_SE3,3,1,329,0.0
None,nse3_industry_load_SE3,3,1,330,0.0
None,nse0_industry_load_SE4,4,1,331,0.0
None,nse1_industry_load_SE4,4,1,332,0.0
None,nse2_industry_load_SE4,4,1,333,0.0
None,nse3_industry_load_SE4,4,1,334,0.0
None,nse0_losses_load_SE1,1,1,335,0.0
None,nse1_losses_load_SE1,1,1,336,0.0
None,nse2_losses_load_SE1,1,1,337,0.0
None,nse3_losses_load_SE1,1,1,338,0.0
None,nse0_losses_load_SE2,2,1,339,0.0
None,nse1_losses_load_SE2,2,1,340,0.0
None,nse2_losses_load_SE2,2,1,341,0.0
None,nse3_losses_load_SE2,2,1,342,0.0
None,nse0_losses_load_SE3,3,1,343,0.0
None,nse1_losses_load_SE3,3,1,344,0.0
None,nse2_losses_load_SE3,3,1,345,0.0
None,nse3_losses_load_SE3,3,1,346,0.0
None,nse0_losses_load_SE4,4,1,347,0.0
None,nse1_losses_load_SE4,4,1,348,0.0
None,nse2_losses_load_SE4,4,1,349,0.0
None,nse3_losses_load_SE4,4,1,350,0.0
None,nse0_baseload_NO125,5,1,351,0.0
None,nse1_baseload_NO125,5,1,352,0.0
None,nse2_baseload_NO125,5,1,353,0.0
None,nse3_baseload_NO125,5,1,354,0.0
None,nse0_baseload_NO3,6,1,355,0.0
None,nse1_baseload_NO3,6,1,356,0.0
None,nse2_baseload_NO3,6,1,357,0.0
None,nse3_baseload_NO3,6,1,358,0.0
None,nse0_baseload_NO4,7,1,359,0.0
None,nse1_baseload_NO4,7,1,360,0.0
None,nse2_baseload_NO4,7,1,361,0.0
None,nse3_baseload_NO4,7,1,362,0.0
None,nse0_baseload_FI,8,1,363,0.0
None,nse1_baseload_FI,8,1,364,0.0
None,nse2_baseload_FI,8,1,365,0.0
None,nse3_baseload_FI,8,1,366,0.0
None,nse0_baseload_DK1,9,1,367,0.0
None,nse1_baseload_DK1,9,1,368,0.0
None,nse2_baseload_DK1,9,1,369,0.0
None,nse3_baseload_DK1,9,1,370,0.0
None,nse0_baseload_DK2,10,1,371,0.0
None,nse1_baseload_DK2,10,1,372,0.0
None,nse2_baseload_DK2,10,1,373,0.0
None,nse3_baseload_DK2,10,1,374,0.0
None,nse0_heating_space_load_DE,11,1,375,0.0
None,nse1_heating_space_load_DE,11,1,376,0.0
None,nse2_heating_space_load_DE,11,1,377,0.0
None,nse3_heating_space_load_DE,11,1,378,0.0
None,nse0_heating_sanitary_load_DE,11,1,379,0.0
None,nse1_heating_sanitary_load_DE,11,1,380,0.0
None,nse2_heating_sanitary_load_DE,11,1,381,0.0
None,nse3_heating_sanitary_load_DE,11,1,382,0.0
None,nse0_EV_load_DE,11,1,383,0.0
None,nse1_EV_load_DE,11,1,384,0.0
None,nse2_EV_load_DE,11,1,385,0.0
None,nse3_EV_load_DE,11,1,386,0.0
None,nse0_residential_tertiary_load_DE,11,1,387,0.0
None,nse1_residential_tertiary_load_DE,11,1,388,0.0
None,nse2_residential_tertiary_load_DE,11,1,389,0.0
None,nse3_residential_tertiary_load_DE,11,1,390,0.0
None,nse0_electrolyser_load_DE,11,1,391,0.0
None,nse1_electrolyser_load_DE,11,1,392,0.0
None,nse2_electrolyser_load_DE,11,1,393,0.0
None,nse3_electrolyser_load_DE,11,1,394,0.0
None,nse0_industry_load_DE,11,1,395,0.0
None,nse1_industry_load_DE,11,1,396,0.0
None,nse2_industry_load_DE,11,1,397,0.0
None,nse3_industry_load_DE,11,1,398,0.0
None,nse0_losses_load_DE,11,1,399,0.0
None,nse1_losses_load_DE,11,1,400,0.0
None,nse2_losses_load_DE,11,1,401,0.0
None,nse3_losses_load_DE,11,1,402,0.0
None,nse0_baseload_PL,12,1,403,0.0
None,nse1_baseload_PL,12,1,404,0.0
None,nse2_baseload_PL,12,1,405,0.0
None,nse3_baseload_PL,12,1,406,0.0
None,nse0_baseload_BT,13,1,407,0.0
None,nse1_baseload_BT,13,1,408,0.0
None,nse2_baseload_BT,13,1,409,0.0
None,nse3_baseload_BT,13,1,410,0.0
None,nse0_baseload_UK,14,1,411,0.0
None,nse1_baseload_UK,14,1,412,0.0
None,nse2_baseload_UK,14,1,413,0.0
None,nse3_baseload_UK,14,1,414,0.0
None,nse0_baseload_FR,15,1,415,0.0
None,nse1_baseload_FR,15,1,416,0.0
None,nse2_baseload_FR,15,1,417,0.0
None,nse3_baseload_FR,15,1,418,0.0
None,nse0_baseload_ES,16,1,419,0.0
None,nse1_baseload_ES,16,1,420,0.0
None,nse2_baseload_ES,16,1,421,0.0
None,nse3_baseload_ES,16,1,422,0.0
None,nse0_baseload_NL,17,1,423,0.0
None,nse1_baseload_NL,17,1,424,0.0
None,nse2_baseload_NL,17,1,425,0.0
None,nse3_baseload_NL,17,1,426,0.0
None,heating_space_flexload_SE1,1,1,427,0.0
None,heating_space_flexload_SE2,2,1,428,0.0
None,heating_space_flexload_SE3,3,1,429,0.0
None,heating_space_flexload_SE4,4,1,430,0.0
None,heating_sanitary_flexload_SE1,1,1,431,0.0
None,heating_sanitary_flexload_SE2,2,1,432,0.0
None,heating_sanitary_flexload_SE3,3,1,433,0.0
None,heating_sanitary_flexload_SE4,4,1,434,0.0
None,EV_flexload_SE1,1,1,435,0.0
None,EV_flexload_SE2,2,1,436,0.0
None,EV_flexload_SE3,3,1,437,0.0
None,EV_flexload_SE4,4,1,438,0.0
None,residential_tertiary_flexload_SE1,1,1,439,0.0
None,residential_tertiary_flexload_SE2,2,1,440,0.0
None,residential_tertiary_flexload_SE3,3,1,441,0.0
None,residential_tertiary_flexload_SE4,4,1,442,0.0
None,industry_flexload_SE1,1,1,443,0.0
None,industry_flexload_SE2,2,1,444,0.0
None,industry_flexload_SE3,3,1,445,0.0
None,industry_flexload_SE4,4,1,446,0.0
None,electrolyser_flexload_SE1,1,1,447,0.0
None,electrolyser_flexload_SE2,2,1,448,0.0
None,electrolyser_flexload_SE3,3,1,449,0.0
None,electrolyser_flexload_SE4,4,1,450,0.0
None,losses_flexload_SE1,1,1,451,0.0
None,losses_flexload_SE2,2,1,452,0.0
None,losses_flexload_SE3,3,1,453,0.0
None,losses_flexload_SE4,4,1,454,0.0
None,flexload_NO125,5,1,455,0.0
None,flexload_NO3,6,1,456,0.0
None,flexload_NO4,7,1,457,0.0
None,EV_flexload_NO125,5,1,458,0.0
None,EV_flexload_NO3,6,1,459,0.0
None,EV_flexload_NO4,7,1,460,0.0
None,flexload_FI,8,1,461,0.0
None,electrolyser_flexload_FI,8,1,462,0.0
None,EV_flexload_FI,8,1,463,0.0
None,industry_flexload_FI,8,1,464,0.0
None,flexload_DK1,9,1,465,0.0
None,flexload_DK2,10,1,466,0.0
None,EV_flexload_DK1,9,1,467,0.0
None,EV_flexload_DK2,10,1,468,0.0
None,heating_space_flexload_DE,11,1,469,0.0
None,heating_sanitary_flexload_DE,11,1,470,0.0
None,EV_flexload_DE,11,1,471,0.0
None,residential_tertiary_flexload_DE,11,1,472,0.0
None,industry_flexload_DE,11,1,473,0.0
None,electrolyser_flexload_DE,11,1,474,0.0
None,losses_flexload_DE,11,1,475,0.0
None,EV_flexload_PL,12,1,476,0.0
None,flexload_PL,12,1,477,0.0
None,flexload_BT,13,1,478,0.0
None,EV_flexload_BT,13,1,479,0.0
None,flexload_UK,14,1,480,0.0
