Resource,Zone,AnnualSum,Capacity,CapacityFactor
wind_offshore_ES,16,4.922962061309635e6,1798.049629,0.31255086700898643
wind_onshore_existing_ES,16,620040.2237070038,459.0,0.15420663933581136
wind_onshore_ES,16,1.43873214972859e8,54141.0,0.30335389054079703
solar_existing_ES,16,0.0,0.0,0.0
solar_ES,16,1.6567750413756904e8,119938.828,0.15768836004742184
hydro_pumped_ES,16,2.0447069691581886e7,9500.0,0.0
battery_ES,16,2.3018659535812892e7,24000.0,0.0
nuclear_NL,17,3.942e6,500.0,0.9
must_run_NL,17,9.99999551999993e6,2000.0,0.5707759999999961
coal_hard_NL,17,0.0,0.0,0.0
gas_CC_CCS_NL,17,7.637781322981732e7,12910.8183,0.675319584576013
gas_CC_NL,17,0.1690857050000053,5.57e-5,0.0
gas_OC_NL,17,3916.118501072002,4.012416497,0.1114155251141553
wind_offshore_existing_NL,17,4.065279062793339e6,1216.0,0.3816389410967671
wind_offshore_NL,17,2.6295735024862517e7,7584.445336,0.39578322510503217
wind_onshore_existing_NL,17,308010.22570245696,144.0,0.24417350464743226
wind_onshore_NL,17,2.4981465478209868e7,9156.0,0.31146411812462554
solar_existing_NL,17,0.0,0.0,0.0
solar_NL,17,6.478032938809316e7,66946.92907,0.11046085120047866
battery_NL,17,1.1411892931017924e7,15800.0,0.0
nse0_heating_space_load_SE1,1,1531.22509603324,7.079203,0.024691675799086762
nse1_heating_space_load_SE1,1,100.564934948258,7.079203,0.0016216536529680364
nse2_heating_space_load_SE1,1,0.0,7.079203,0.0
nse3_heating_space_load_SE1,1,0.0,7.079203,0.0
nse0_heating_space_load_SE2,2,2760.296121655384,13.430156,0.02346229611872146
nse1_heating_space_load_SE2,2,186.26390797648,13.430156,0.001583228310502283
nse2_heating_space_load_SE2,2,0.0,13.430156,0.0
nse3_heating_space_load_SE2,2,0.0,13.430156,0.0
nse0_heating_space_load_SE3,3,15308.5332297962,68.938709,0.02534932087945231
nse1_heating_space_load_SE3,3,2042.8723644548538,68.938709,0.003382781766546876
nse2_heating_space_load_SE3,3,0.0,68.938709,0.0
nse3_heating_space_load_SE3,3,0.0,68.938709,0.0
nse0_heating_space_load_SE4,4,4248.550895154182,20.174917,0.024039474086758
nse1_heating_space_load_SE4,4,912.2500693355139,20.174917,0.005161762785388127
nse2_heating_space_load_SE4,4,0.0,20.174917,0.0
nse3_heating_space_load_SE4,4,0.0,20.174917,0.0
nse0_heating_sanitary_load_SE1,1,159.8705311057201,1.351951,0.013499054794520557
nse1_heating_sanitary_load_SE1,1,12.927085071799999,1.351951,0.0010915296803652968
nse2_heating_sanitary_load_SE1,1,0.0,1.351951,0.0
nse3_heating_sanitary_load_SE1,1,0.0,1.351951,0.0
nse0_heating_sanitary_load_SE2,2,329.693694075508,2.865779,0.01313299680365297
nse1_heating_sanitary_load_SE2,2,28.493426111234,2.865779,0.0011350052511415528
nse2_heating_sanitary_load_SE2,2,0.0,2.865779,0.0
nse3_heating_sanitary_load_SE2,2,0.0,2.865779,0.0
nse0_heating_sanitary_load_SE3,3,2229.8390929037528,18.333576,0.013884243949771693
nse1_heating_sanitary_load_SE3,3,268.095805233264,18.333576,0.0016693166666666666
nse2_heating_sanitary_load_SE3,3,0.0,18.333576,0.0
nse3_heating_sanitary_load_SE3,3,0.0,18.333576,0.0
nse0_heating_sanitary_load_SE4,4,747.0729926310753,6.184275,0.013790186415525119
nse1_heating_sanitary_load_SE4,4,125.854566429225,6.184275,0.0023231437214611874
nse2_heating_sanitary_load_SE4,4,0.0,6.184275,0.0
nse3_heating_sanitary_load_SE4,4,0.0,6.184275,0.0
nse0_EV_load_SE1,1,0.0,0.0,0.0
nse1_EV_load_SE1,1,0.0,0.0,0.0
nse2_EV_load_SE1,1,0.0,0.0,0.0
nse3_EV_load_SE1,1,0.0,0.0,0.0
nse0_EV_load_SE2,2,0.0,0.0,0.0
nse1_EV_load_SE2,2,0.0,0.0,0.0
nse2_EV_load_SE2,2,0.0,0.0,0.0
nse3_EV_load_SE2,2,0.0,0.0,0.0
nse0_EV_load_SE3,3,0.0,0.0,0.0
nse1_EV_load_SE3,3,0.0,0.0,0.0
nse2_EV_load_SE3,3,0.0,0.0,0.0
nse3_EV_load_SE3,3,0.0,0.0,0.0
nse0_EV_load_SE4,4,0.0,0.0,0.0
nse1_EV_load_SE4,4,0.0,0.0,0.0
nse2_EV_load_SE4,4,0.0,0.0,0.0
nse3_EV_load_SE4,4,0.0,0.0,0.0
nse0_residential_tertiary_load_SE1,1,1389.6538307043534,4.650581,0.03411106742230185
nse1_residential_tertiary_load_SE1,1,86.90060506913252,4.650581,0.0021331013041208605
nse2_residential_tertiary_load_SE1,1,0.0,4.650581,0.0
nse3_residential_tertiary_load_SE1,1,0.0,4.650581,0.0
nse0_residential_tertiary_load_SE2,2,2003.7515777474364,7.968262,0.02870623036529681
nse1_residential_tertiary_load_SE2,2,143.55016028114204,7.968262,0.002056534360730594
nse2_residential_tertiary_load_SE2,2,0.0,7.968262,0.0
nse3_residential_tertiary_load_SE2,2,0.0,7.968262,0.0
nse0_residential_tertiary_load_SE3,3,27754.401199862987,101.660478,0.031165608322771862
nse1_residential_tertiary_load_SE3,3,3146.8146739298604,101.660478,0.003533579877505454
nse2_residential_tertiary_load_SE3,3,0.0,101.660478,0.0
nse3_residential_tertiary_load_SE3,3,0.0,101.660478,0.0
nse0_residential_tertiary_load_SE4,4,7630.7136485515575,29.977091,0.02905839105401106
nse1_residential_tertiary_load_SE4,4,1187.3301921836287,29.977091,0.004521451940639268
nse2_residential_tertiary_load_SE4,4,0.0,29.977091,0.0
nse3_residential_tertiary_load_SE4,4,0.0,29.977091,0.0
nse0_electrolyser_load_SE1,1,8909.0502925902,18.526622,0.054894781875689816
nse1_electrolyser_load_SE1,1,8744.565584000013,18.526622,0.05388127853881286
nse2_electrolyser_load_SE1,1,8485.192876000014,18.526622,0.052283105022831136
nse3_electrolyser_load_SE1,1,7623.378477918252,18.526622,0.04697287420739001
nse0_electrolyser_load_SE2,2,320.4016239999999,0.678817,0.0
nse1_electrolyser_load_SE2,2,320.4016239999999,0.678817,0.0
nse2_electrolyser_load_SE2,2,298.00066300000003,0.678817,0.0
nse3_electrolyser_load_SE2,2,283.74550600000015,0.678817,0.0
nse0_electrolyser_load_SE3,3,1126.8056129999993,2.249113,0.057191780821917775
nse1_electrolyser_load_SE3,3,1111.061821999999,2.249113,0.05639269406392689
nse2_electrolyser_load_SE3,3,1075.0760139999986,2.249113,0.054566210045662034
nse3_electrolyser_load_SE3,3,955.8730249999984,2.249113,0.04851598173515974
nse0_electrolyser_load_SE4,4,98.93934000000017,0.186678,0.0
nse1_electrolyser_load_SE4,4,95.57913600000016,0.186678,0.0
nse2_electrolyser_load_SE4,4,94.27239000000016,0.186678,0.0
nse3_electrolyser_load_SE4,4,83.44506600000014,0.186678,0.0
nse0_industry_load_SE1,1,78492.27379446953,218.765627,0.04095846934710255
nse1_industry_load_SE1,1,5031.609421,218.765627,0.002625570776255708
nse2_industry_load_SE1,1,0.0,218.765627,0.0
nse3_industry_load_SE1,1,0.0,218.765627,0.0
nse0_industry_load_SE2,2,45267.071053528874,131.902362,0.03917650742719899
nse1_industry_load_SE2,2,3165.656688,131.902362,0.0027397260273972603
nse2_industry_load_SE2,2,0.0,131.902362,0.0
nse3_industry_load_SE2,2,0.0,131.902362,0.0
nse0_industry_load_SE3,3,112241.62974429596,299.887365,0.04272594622983618
nse1_industry_load_SE3,3,12595.269330000001,299.887365,0.004794520547945207
nse2_industry_load_SE3,3,0.0,299.887365,0.0
nse3_industry_load_SE3,3,0.0,299.887365,0.0
nse0_industry_load_SE4,4,24049.040442053643,64.433136,0.04260733563202614
nse1_industry_load_SE4,4,3850.689559980386,64.433136,0.006822210761054922
nse2_industry_load_SE4,4,0.0,64.433136,0.0
nse3_industry_load_SE4,4,0.0,64.433136,0.0
nse0_losses_load_SE1,1,0.0,0.0,0.0
nse1_losses_load_SE1,1,0.0,0.0,0.0
nse2_losses_load_SE1,1,0.0,0.0,0.0
nse3_losses_load_SE1,1,0.0,0.0,0.0
nse0_losses_load_SE2,2,0.0,0.0,0.0
nse1_losses_load_SE2,2,0.0,0.0,0.0
nse2_losses_load_SE2,2,0.0,0.0,0.0
nse3_losses_load_SE2,2,0.0,0.0,0.0
nse0_losses_load_SE3,3,0.0,0.0,0.0
nse1_losses_load_SE3,3,0.0,0.0,0.0
nse2_losses_load_SE3,3,0.0,0.0,0.0
nse3_losses_load_SE3,3,0.0,0.0,0.0
nse0_losses_load_SE4,4,0.0,0.0,0.0
nse1_losses_load_SE4,4,0.0,0.0,0.0
nse2_losses_load_SE4,4,0.0,0.0,0.0
nse3_losses_load_SE4,4,0.0,0.0,0.0
nse0_baseload_NO125,5,16544.248223164068,609.314541,0.0030995695716762458
nse1_baseload_NO125,5,0.0,609.314541,0.0
nse2_baseload_NO125,5,0.0,609.314541,0.0
nse3_baseload_NO125,5,0.0,609.314541,0.0
nse0_baseload_NO3,6,2108.210607759126,118.892386,0.0020242113013698632
nse1_baseload_NO3,6,0.0,118.892386,0.0
nse2_baseload_NO3,6,0.0,118.892386,0.0
nse3_baseload_NO3,6,0.0,118.892386,0.0
nse0_baseload_NO4,7,2069.58034861809,121.162503,0.0019498892694063926
nse1_baseload_NO4,7,0.0,121.162503,0.0
nse2_baseload_NO4,7,0.0,121.162503,0.0
nse3_baseload_NO4,7,0.0,121.162503,0.0
nse0_baseload_FI,8,6826.79673011285,204.29785,0.0038146005707762553
nse1_baseload_FI,8,0.0,204.29785,0.0
nse2_baseload_FI,8,0.0,204.29785,0.0
nse3_baseload_FI,8,0.0,204.29785,0.0
nse0_baseload_DK1,9,95629.08986225768,219.469069,0.04974078041796459
nse1_baseload_DK1,9,0.0,219.469069,0.0
nse2_baseload_DK1,9,0.0,219.469069,0.0
nse3_baseload_DK1,9,0.0,219.469069,0.0
nse0_baseload_DK2,10,85924.6980091307,164.576948,0.05959981394535505
nse1_baseload_DK2,10,15018.616443134997,164.576948,0.010417339443338844
nse2_baseload_DK2,10,10509.654103220979,164.576948,0.007289794944818388
nse3_baseload_DK2,10,5706.119273017595,164.576948,0.003957926590393308
nse0_heating_space_load_DE,11,455134.4885273667,644.74449,0.08058384778290016
nse1_heating_space_load_DE,11,314322.36311978125,644.74449,0.05565235354139264
nse2_heating_space_load_DE,11,0.0,644.74449,0.0
nse3_heating_space_load_DE,11,0.0,644.74449,0.0
nse0_heating_sanitary_load_DE,11,79576.46386772092,198.172239,0.04583927225940239
nse1_heating_sanitary_load_DE,11,51021.37423890436,198.172239,0.02939038191837387
nse2_heating_sanitary_load_DE,11,0.0,198.172239,0.0
nse3_heating_sanitary_load_DE,11,0.0,198.172239,0.0
nse0_EV_load_DE,11,0.0,0.0,0.0
nse1_EV_load_DE,11,0.0,0.0,0.0
nse2_EV_load_DE,11,0.0,0.0,0.0
