Region,Resource,Zone,Cluster,AnnualSum
None,nse2_heating_space_load_SE2,2,1,0.0
None,nse3_heating_space_load_SE2,2,1,0.0
None,nse0_heating_space_load_SE3,3,1,0.0
None,nse1_heating_space_load_SE3,3,1,0.0
None,nse2_heating_space_load_SE3,3,1,0.0
None,nse3_heating_space_load_SE3,3,1,0.0
None,nse0_heating_space_load_SE4,4,1,0.0
None,nse1_heating_space_load_SE4,4,1,0.0
None,nse2_heating_space_load_SE4,4,1,0.0
None,nse3_heating_space_load_SE4,4,1,0.0
None,nse0_heating_sanitary_load_SE1,1,1,0.0
None,nse1_heating_sanitary_load_SE1,1,1,0.0
None,nse2_heating_sanitary_load_SE1,1,1,0.0
None,nse3_heating_sanitary_load_SE1,1,1,0.0
None,nse0_heating_sanitary_load_SE2,2,1,0.0
None,nse1_heating_sanitary_load_SE2,2,1,0.0
None,nse2_heating_sanitary_load_SE2,2,1,0.0
None,nse3_heating_sanitary_load_SE2,2,1,0.0
None,nse0_heating_sanitary_load_SE3,3,1,0.0
None,nse1_heating_sanitary_load_SE3,3,1,0.0
None,nse2_heating_sanitary_load_SE3,3,1,0.0
None,nse3_heating_sanitary_load_SE3,3,1,0.0
None,nse0_heating_sanitary_load_SE4,4,1,0.0
None,nse1_heating_sanitary_load_SE4,4,1,0.0
None,nse2_heating_sanitary_load_SE4,4,1,0.0
None,nse3_heating_sanitary_load_SE4,4,1,0.0
None,nse0_EV_load_SE1,1,1,0.0
None,nse1_EV_load_SE1,1,1,0.0
None,nse2_EV_load_SE1,1,1,0.0
None,nse3_EV_load_SE1,1,1,0.0
None,nse0_EV_load_SE2,2,1,0.0
None,nse1_EV_load_SE2,2,1,0.0
None,nse2_EV_load_SE2,2,1,0.0
None,nse3_EV_load_SE2,2,1,0.0
None,nse0_EV_load_SE3,3,1,0.0
None,nse1_EV_load_SE3,3,1,0.0
None,nse2_EV_load_SE3,3,1,0.0
None,nse3_EV_load_SE3,3,1,0.0
None,nse0_EV_load_SE4,4,1,0.0
None,nse1_EV_load_SE4,4,1,0.0
None,nse2_EV_load_SE4,4,1,0.0
None,nse3_EV_load_SE4,4,1,0.0
None,nse0_residential_tertiary_load_SE1,1,1,0.0
None,nse1_residential_tertiary_load_SE1,1,1,0.0
None,nse2_residential_tertiary_load_SE1,1,1,0.0
None,nse3_residential_tertiary_load_SE1,1,1,0.0
None,nse0_residential_tertiary_load_SE2,2,1,0.0
None,nse1_residential_tertiary_load_SE2,2,1,0.0
None,nse2_residential_tertiary_load_SE2,2,1,0.0
None,nse3_residential_tertiary_load_SE2,2,1,0.0
None,nse0_residential_tertiary_load_SE3,3,1,0.0
None,nse1_residential_tertiary_load_SE3,3,1,0.0
None,nse2_residential_tertiary_load_SE3,3,1,0.0
None,nse3_residential_tertiary_load_SE3,3,1,0.0
None,nse0_residential_tertiary_load_SE4,4,1,0.0
None,nse1_residential_tertiary_load_SE4,4,1,0.0
