Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
t20,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,81.03205447610604,79.22911630482062,78.34271864089878,78.34271864089878,80.12548594246158,80.8297045129988,0.0,0.0,70.46421703030303,69.068886,69.068886,89.44719449227813
t21,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,80.8297045129988,82.46262783649374,84.12853950995826,0.0,0.0,82.46262783649374,69.068886,69.068886,85.82810596470489
t22,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,80.8297045129988,82.46262783649372,87.67596291817361,0.0,0.0,85.27022962962963,69.068886,69.068886,89.44719449227813
t23,77.46629295069606,75.74269187144695,77.46629295069606,79.22911630482062,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,80.8297045129988,80.12548594246158,87.67596291817361,0.0,0.0,85.27022962962963,69.068886,69.068886,89.44719449227813
t24,79.72587011894502,77.95199414596479,79.72587011894502,81.5401124225367,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,80.8297045129988,82.46262783649374,87.67596291817361,0.0,0.0,85.27022962962963,69.068886,69.068886,89.44719449227813
t25,80.12548594246157,78.34271864089877,80.12548594246158,81.948821905754,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,77.66022291264595,81.03205447610604,87.67596291817361,0.0,0.0,76.12239671635594,69.068886,69.068886,89.44719449227813
t26,80.12548594246157,78.34271864089877,80.12548594246158,81.948821905754,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,77.66022291264595,81.03205447610604,87.67596291817361,0.0,0.0,70.46421703030303,69.068886,67.70118528712872,89.44719449227813
t27,80.12548594246157,78.34271864089877,80.12548594246158,81.948821905754,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,77.66022291264595,81.03205447610604,87.67596291817361,0.0,0.0,70.46421703030303,69.068886,47.84579766,89.44719449227813
t28,80.12548594246157,78.34271864089877,80.12548594246158,81.948821905754,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,77.66022291264595,81.03205447610604,87.67596291817361,0.0,0.0,69.068886,67.70118528712872,15.445797660000004,89.44719449227813
t29,81.03205447610604,79.22911630482062,80.12548594246158,81.948821905754,79.22911630482062,81.03205447610604,79.22911630482062,79.22911630482062,79.42745933796533,81.03205447610604,87.67596291817361,0.0,0.0,69.068886,67.70118528712872,15.445797660000004,89.44719449227813
